%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1580572324244330010,38,1580572324244330010,world,24.47560325560027,-0.49772587819392,-0.5146173482123801,0.015531306456179683,0.6998963325985385,-0.024967854954737394,0.7136390206594543
1580572324363373183,39,1580572324363373183,world,25.172665756065065,-0.5648219795524181,-0.5349611612772018,0.018848820762562443,0.6997796630098017,-0.0290309514126713,0.7135197202180078
1580572324474984401,40,1580572324474984401,world,25.82331431369702,-0.646590388127497,-0.5580356892008806,0.02256899046778992,0.699398780858679,-0.03241337028318676,0.7136395426725208
1580572324587923107,41,1580572324587923107,world,26.492588987840435,-0.7471850928958412,-0.5885083289356361,0.026122434695475167,0.6998190389726351,-0.035195612838483326,0.712974250800661
1580572324701478377,42,1580572324701478377,world,27.15407350902004,-0.8417944845948053,-0.612540892819041,0.029780969301187264,0.7001945860554392,-0.037635231509722644,0.7123371954681411
1580572324814308333,43,1580572324814308333,world,27.803959809541475,-0.9462371428860337,-0.6309950872156218,0.03306735109756036,0.7007790785889564,-0.0391989892923084,0.7115326371123076
1580572324929091784,44,1580572324929091784,world,28.467675534916832,-1.0484108114610686,-0.6548808932822077,0.03575447055893759,0.7007414068465396,-0.040850084568581906,0.7113469275849473
1580572325043042102,45,1580572325043042102,world,29.162572520257175,-1.145489164916973,-0.6765941553511547,0.03762278522391568,0.7001800503488509,-0.04205817850294315,0.7117327654198697
1580572325165041706,46,1580572325165041706,world,29.859125498786575,-1.2526048359506463,-0.7028133938180288,0.03902542492434208,0.6989977153639813,-0.04246172218634567,0.7127947494624659
1580572325287989165,47,1580572325287989165,world,30.5215029686311,-1.3581683578616364,-0.7063537733269865,0.039672760934222645,0.6979292104789927,-0.04199636528390769,0.7138328074305549
1580572325407042833,48,1580572325407042833,world,31.19472051183628,-1.4597884667975238,-0.7325180114716892,0.04029191179135084,0.6982061238390972,-0.041618989331729,0.7135493122628649
1580572325525470897,49,1580572325525470897,world,31.84294574693083,-1.5619139510694238,-0.7554324119534659,0.04106468306913023,0.699193467139561,-0.041242388069306496,0.7125596414667134
1580572325643245035,50,1580572325643245035,world,32.488173803560564,-1.6623312273291582,-0.7779799894998769,0.04174079932411399,0.7003544647533911,-0.04084644031721547,0.7114020705608257
1580572325760174061,51,1580572325760174061,world,33.141630853024935,-1.760820586408128,-0.7897356887057247,0.042522613876153845,0.7016488356514509,-0.040439707296980675,0.7101024922082614
1580572325877896594,52,1580572325877896594,world,33.75044459174955,-1.8581020330786835,-0.8093708565653746,0.043741208127644156,0.7020829446572164,-0.03917386118907602,0.7096701738904124
1580572326001252138,53,1580572326001252138,world,34.41712057287114,-1.967919935345158,-0.8263708692142746,0.044661701335546186,0.7022905315738907,-0.03776369223691815,0.7094837878326017
1580572326116407515,54,1580572326116407515,world,34.9727743438151,-2.0589614608267715,-0.8369234255509879,0.04494643744139103,0.7027991662200714,-0.03636646951660619,0.7090350256447808
1580572326234032512,55,1580572326234032512,world,35.51859464894605,-2.1452599254095928,-0.8515614588487681,0.04501289322954975,0.7027927546058712,-0.03437357592129243,0.709136652290771
1580572326352936220,56,1580572326352936220,world,36.13196723779432,-2.2255278425250697,-0.8819392148909024,0.044369658782761265,0.7026505728751522,-0.033601514290175105,0.7093550498610565
1580572326470760511,57,1580572326470760511,world,36.65667700641219,-2.3020742686104594,-0.9009682434678128,0.043644627280755,0.7036313185745457,-0.032514030710972745,0.7084780164288209
1580572326592520980,58,1580572326592520980,world,37.174990928761275,-2.3793365680566563,-0.9196375323530859,0.04322740304809091,0.7049060408326088,-0.031752493091142954,0.7072698496139633
1580572326711652921,59,1580572326711652921,world,37.622018531672595,-2.4470725887069134,-0.9353867279067822,0.04372854260810754,0.7060941841156474,-0.030990244727583716,0.7060867766584452
1580572326829472526,60,1580572326829472526,world,38.066844797490965,-2.5132309013075704,-0.9383931048575267,0.04483014353130986,0.707274222527426,-0.029991512998552617,0.7048786758297242
1580572326954585348,61,1580572326954585348,world,38.49193503523548,-2.575962544134479,-0.9510510359807194,0.04604917491714316,0.7071399325068278,-0.029182362671082738,0.7049687900466262
1580572327075672115,62,1580572327075672115,world,38.9836888017111,-2.637360354671064,-0.9840320354687098,0.04573105171965829,0.7058375456266535,-0.030096348801047567,0.7062551337874178
1580572327194220032,63,1580572327194220032,world,39.313923356217266,-2.6837419109950478,-0.9969023282895417,0.04482955345693689,0.7046119105581462,-0.030857822507908632,0.7075028295763673
1580572327319019594,64,1580572327319019594,world,39.61792116247578,-2.7296545178518077,-1.0083619738704082,0.04454585796275815,0.703919146125888,-0.030665863610008257,0.7082182998840951
1580572327438931346,65,1580572327438931346,world,39.87459316332678,-2.7693383607231263,-1.016305298374517,0.04505207164123535,0.7031554452318661,-0.030361600168114945,0.7089576190702382
1580572327557175216,66,1580572327557175216,world,40.104024031447615,-2.8001058002008516,-1.0366325455275796,0.045165368200394275,0.7027943464753628,-0.03037939168589973,0.7093076363058225
1580572327675601532,67,1580572327675601532,world,40.27995414791287,-2.8261538431476314,-1.0390362837803666,0.04493599232136709,0.7027561892718892,-0.030350604811237646,0.7093612888036188
1580572327801032092,68,1580572327801032092,world,40.4214036795122,-2.847338654500631,-1.0437777993926822,0.0447992343400323,0.7021873690641677,-0.030421292784215254,0.7099299784840454
1580572327917963202,69,1580572327917963202,world,40.5233243267858,-2.862023888762539,-1.0470297248816296,0.04485941258753623,0.7011560304106449,-0.030412147086699908,0.7109451922325422
1580572328034847164,70,1580572328034847164,world,40.581388655542256,-2.863093700946375,-1.0452002351456624,0.04473583169073507,0.7004267461956941,-0.030537037597595486,0.7116661110934636
1580572328158223608,71,1580572328158223608,world,40.65437323458379,-2.8746178776958073,-1.050804189292366,0.04460984083578523,0.6997271585987322,-0.030670405286081014,0.7123561266313202
1580572328275246584,72,1580572328275246584,world,40.7085406823129,-2.8840983486945584,-1.0542423889291452,0.044539533034980545,0.699035950386921,-0.03064481643736593,0.7130399991662427
