%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1580572321153936169,19,1580572321153936169,world,0.629442148959769,0.012633414257819386,11.883819439059604,-0.028649665497403828,0.0028354644710090466,-0.006331812551084083,0.9995654398723993
1580572321271371640,20,1580572321271371640,world,0.6693230532957994,0.03632129697993158,12.523853846238525,-0.030240986676090553,0.0013306619943985944,-0.007286094442103576,0.9995151924106483
1580572321383108102,21,1580572321383108102,world,0.7085170098800968,0.0561555997634291,13.205037249735094,-0.031970773761634576,0.0016100033246628064,-0.00831611661735229,0.9994529032209369
1580572321496143855,22,1580572321496143855,world,0.7419081518110808,0.07921137291885927,13.848663589470844,-0.03344234645866516,0.0003357375279649723,-0.007690749963466372,0.9994109997041702
1580572321608135252,23,1580572321608135252,world,0.7699111261903419,0.09548614084560159,14.504758292918831,-0.03451250067015165,0.001484815251372915,-0.0030288831206718154,0.9993985721892837
1580572321720118479,24,1580572321720118479,world,0.8087214048962602,0.11390634272716094,15.152661657136067,-0.03590719408579167,-0.0007328175824104801,-0.0037175233362014832,0.9993479435653587
1580572321833345765,25,1580572321833345765,world,0.840459484115668,0.1539197600791653,15.778944135501792,-0.036711154069588074,-0.0015932877499360261,-0.007590142501455838,0.9992958212113194
1580572321948206987,26,1580572321948206987,world,0.8720148296879491,0.1858274112528875,16.424654591092334,-0.03727163657101385,-0.003258098651320316,-0.00920137469752019,0.9992574975059576
1580572322063803207,27,1580572322063803207,world,0.8993759945629554,0.18883799794473943,17.071742971475402,-0.03776371260747427,-0.0031774341209789268,-0.0026023364407882924,0.99927825511948
1580572322177050684,28,1580572322177050684,world,0.9276280374434331,0.2031564663214962,17.707316836661303,-0.037756100061415936,-0.002857047032718542,6.118855636138929e-05,0.9992828927170199
1580572322288938623,29,1580572322288938623,world,0.9651820558139164,0.24246565772697437,18.363099133769765,-0.03782008059874347,0.0005846400215055421,-0.0038587677538527263,0.9992769503252957
1580572322402178156,30,1580572322402178156,world,19.023419522492283,-0.1555904898621563,-0.43936644157372484,-0.023523485626066598,0.6979853729003588,0.014568413791185003,0.7155773380182838
1580572322515545124,31,1580572322515545124,world,20.028931709017414,-0.2629409037918977,-0.2471752296052525,-0.022064640847107925,0.6995163167786586,0.01615100848915152,0.7140932990512573
1580572322635229747,32,1580572322635229747,world,20.705224538390702,-0.25441804601453866,-0.26156930107023957,-0.02035825827235179,0.6990714375884514,0.016799646154576114,0.7145645346731437
1580572322749343362,33,1580572322749343362,world,21.425241303414737,-0.22251748979573316,-0.2906811115610868,-0.019977871697059793,0.698135490042137,0.01573779784102665,0.7155138845676008
1580572322868557850,34,1580572322868557850,world,22.107143185111973,-0.21384486539946623,-0.30859247169628556,-0.020036034078944644,0.6982373397983423,0.014581165836184178,0.7154374289087291
1580572322983383376,35,1580572322983383376,world,22.77846404933558,-0.2124658044835388,-0.32373229712145424,-0.019540993076202013,0.6984228918968158,0.01313798322881827,0.7152978361634066
1580572323097881213,36,1580572323097881213,world,23.4159750003466,-0.21730872187166583,-0.34504853665078095,-0.01824661964953276,0.6982953286505219,0.011684846390912178,0.7154818537441643
1580572323213634417,37,1580572323213634417,world,24.085709914257524,-0.22198370527388978,-0.360879343251278,-0.016701595273477282,0.6982087649188491,0.009706530872294545,0.7156335605292558
1580572323325854048,38,1580572323325854048,world,24.820305361197683,-0.22546646473355691,-0.38242217842572335,-0.014801892412229468,0.6978440705264334,0.006909942901538966,0.716063454253693
1580572323441103666,39,1580572323441103666,world,25.49490979833381,-0.23955778772201275,-0.40372139707756594,-0.011965482274436542,0.6981797551907947,0.0037714455214196735,0.7158126102048735
1580572323561757324,40,1580572323561757324,world,26.207279333260324,-0.26045249383758184,-0.4215163483501727,-0.00844483731138921,0.6990506611910895,0.00013041885358122497,0.715022372249236
1580572323677012192,41,1580572323677012192,world,26.881805469587935,-0.2856258288093896,-0.4388358659055849,-0.004870401826285774,0.6991001460516973,-0.0038867464752613003,0.7149966133811082
1580572323789410814,42,1580572323789410814,world,27.480795888798273,-0.32668795481757207,-0.4636804128903007,-0.0007900361666535627,0.6989402428697217,-0.00759760013864698,0.715139296674321
1580572323904827639,43,1580572323904827639,world,28.149991893659706,-0.3704476661924203,-0.4827935757011188,0.0026760063458849317,0.6988565427807142,-0.011470827144705693,0.7151649462233881
1580572324016867487,44,1580572324016867487,world,28.840256218120587,-0.4177279672831422,-0.49988177631318975,0.006043210536561259,0.6988290002011973,-0.01567555593734506,0.7150914643713778
1580572324132109461,45,1580572324132109461,world,29.507453145173752,-0.47352965684961745,-0.5181833458779943,0.009914857783075635,0.6987393819755727,-0.019188347699013283,0.7150502349639202
1580572324244330010,46,1580572324244330010,world,30.176938022604613,-0.5414668704399936,-0.5376083629616883,0.013643148645864312,0.6990653125909062,-0.02280604021212702,0.7145638465077895
1580572324363373183,47,1580572324363373183,world,30.866872559313002,-0.6157095302039086,-0.5577908449476503,0.017302459993567193,0.6989336786694176,-0.026337188741893634,0.7144918774355995
1580572324474984401,48,1580572324474984401,world,31.52453659640215,-0.6939961403415,-0.5770100547940165,0.020771627959748323,0.6985805706788655,-0.029951382918730184,0.7146023931732536
1580572324587923107,49,1580572324587923107,world,32.18813109389574,-0.780685069938241,-0.5975888701333272,0.024530527662630412,0.6990699962539166,-0.03255378061617106,0.7138905136534792
